Complaint,Complaint_Clean,Category,Urgency,Complaint_Clean_Banglish
I can’t add a new address — button does nothing.,I can't add a new address - button does nothing.,Account & Shipping,Low,Ami new address add korte parchi na - button kichu korche na.
Flash sale prices aren’t reflected during checkout. and I need help urgently,Flash sale prices aren't reflected during checkout. and I need help urgently,Promotions,Immediate,Flash sale prices checkout er shomoy reflect hocche na. ebong amar urgent help dorkar
System declined my payment without any reason. — this is very frustrating,System declined my payment without any reason. - this is very frustrating,Payments,Immediate,System kono reason chara amar payment decline koreche. - eta khub e frustrating
The shipping company marked it as delivered to the wrong city. and I need help urgently,The shipping company marked it as delivered to the wrong city. and I need help urgently,Order Tracking,Medium,Shipping company eta bhul city te delivered bole mark koreche. ebong amar urgent help dorkar
Site logs me out randomly. which is unacceptable,Site logs me out randomly. which is unacceptable,Technical Issues,Medium,Site random vabe amake log out kore dicche. ja completely unacceptable
I never received the promised sign-up bonus. and I don't know what to do next,I never received the promised sign-up bonus. and I don't know what to do next,Promotions,Medium,Ami promise kora sign-up bonus kkhono pai ni. ebong ami jani na ki korbo
It looks like a returned item — packaging was already opened. — this is very frustrating,It looks like a returned item - packaging was already opened. - this is very frustrating,Product Issues,Low,Dekhte mone hocche ekta returned item - packaging agei open kora chilo. - eta khub e frustrating
"Order timed out after payment, but money is gone.","Order timed out after payment, but money is gone.",Payments,Low,"Payment er por order timed out hoye geche, kintu taka kete geche."
No updates in 7 days — where is my stuff? even after multiple attempts,No updates in 7 days - where is my stuff? even after multiple attempts,Order Tracking,Medium,7 diner moddhe kono update nei - amar jinish koi? onek bar chesta korar poro
I paid for express delivery and it’s still not shipped. — this is very frustrating,I paid for express delivery and it's still not shipped. - this is very frustrating,Order Tracking,Low,Ami express delivery er jonno pay korechi kintu ekhono ship hoyni. - eta khub e frustrating
The discount code I got by email doesn’t work on any items. even after multiple attempts,The discount code I got by email doesn't work on any items. even after multiple attempts,Promotions,High,Email e paoa discount code konta tei kaj korche na. onek bar chesta korar poro
Your support team said I’d get refunded — it's been a week. despite following all instructions,Your support team said I'd get refunded - it's been a week. despite following all instructions,Refunds,Medium,Apnader support team boleche ami refund pabo - ek hafta hoye geche. shob instruction follow korar poro o
It shipped to the wrong apartment. — this is very frustrating,It shipped to the wrong apartment. - this is very frustrating,Account & Shipping,Low,Eta bhul apartment e ship hoye geche. - eta khub e frustrating
"Order timed out after payment, but money is gone. — this is very frustrating","Order timed out after payment, but money is gone. - this is very frustrating",Payments,Medium,"Payment er por order timed out hoye geche, kintu taka kete geche. - eta khub e frustrating"
I never received the promised sign-up bonus. even after multiple attempts,I never received the promised sign-up bonus. even after multiple attempts,Promotions,Medium,Ami promise kora sign-up bonus kkhono pai ni. onek bar chesta korar poro
Site logs me out randomly. and there's no explanation anywhere,Site logs me out randomly. and there's no explanation anywhere,Technical Issues,High,Site random vabe amake log out kore dicche. ebong kothao kono explanation nei
I’m stuck on the loading screen forever. which is unacceptable,I'm stuck on the loading screen forever. which is unacceptable,Technical Issues,Immediate,Ami loading screen e shob shomoy stuck hoye thaki. ja completely unacceptable
No updates in 7 days — where is my stuff? — this is very frustrating,No updates in 7 days - where is my stuff? - this is very frustrating,Order Tracking,Low,7 diner moddhe kono update nei - amar jinish koi? - eta khub e frustrating
Package was rerouted without telling me. — this is very frustrating,Package was rerouted without telling me. - this is very frustrating,Order Tracking,High,Amake na janiye package er route change kora hoyeche. - eta khub e frustrating
It has a foul odor like chemicals. which is unacceptable,It has a foul odor like chemicals. which is unacceptable,Product Issues,High,Ete chemical er moto ekta kharap smell asche. ja completely unacceptable
I’m stuck on the loading screen forever. and I don't know what to do next,I'm stuck on the loading screen forever. and I don't know what to do next,Technical Issues,Medium,Ami loading screen e shob shomoy stuck hoye thaki. ebong ami jani na tarpor ki korbo
I never received the promised sign-up bonus. which is unacceptable,I never received the promised sign-up bonus. which is unacceptable,Promotions,High,Ami promise kora sign-up bonus kkhono pai ni. ja completely unacceptable
I clicked on a 15% off ad and it vanished at checkout.,I clicked on a 15% off ad and it vanished at checkout.,Promotions,Low,Ami ekta 15% off er ad e click korechi ebong checkout er shomoy sheta gayeb hoye geche.
I can’t add a new address — button does nothing. and I need help urgently,I can't add a new address - button does nothing. and I need help urgently,Account & Shipping,Medium,Ami new address add korte parchi na - button kichu korche na. ebong amar urgent help dorkar
"The return was delivered, but no refund yet. and I need help urgently","The return was delivered, but no refund yet. and I need help urgently",Refunds,Low,"Return deliver hoyeche, kintu ekhono refund pai ni. ebong amar urgent help dorkar"
Duplicate orders were placed by mistake and I can't cancel. despite following all instructions,Duplicate orders were placed by mistake and I can't cancel. despite following all instructions,Order Issues,Medium,Bhul kore duplicate order hoye geche ebong ami cancel korte parchi na. shob instruction follow korar poro o
This isn't what I ordered — it’s the wrong model. and I don't know what to do next,This isn't what I ordered - it's the wrong model. and I don't know what to do next,Product Issues,Immediate,Eta sheta na ja ami order korechilam - eta bhul model. ebong ami jani na tarpor ki korbo
I can’t add a new address — button does nothing. please fix this ASAP,I can't add a new address - button does nothing. please fix this ASAP,Account & Shipping,Low,Ami new address add korte parchi na - button kichu korche na. please eta taratari fix korun
There are defects in the stitching of this garment. please fix this ASAP,There are defects in the stitching of this garment. please fix this ASAP,Product Issues,High,Ei garment er shelaye defect ache. please eta taratari fix korun
